sim,total,target1,target2,marker,marker_count,target1_count,target2_count,c1_hat,c2_hat
1,2200,1000,1000,200,10,42,39,840,780
2,2200,1000,1000,200,10,60,68,1200,1360
3,2200,1000,1000,200,10,42,49,840,980
4,2200,1000,1000,200,10,61,46,1220,920
5,2200,1000,1000,200,11,53,47,963.6363636,854.5454545
6,2200,1000,1000,200,10,71,69,1420,1380
7,2200,1000,1000,200,11,61,65,1109.090909,1181.818182
8,2200,1000,1000,200,10,57,63,1140,1260
9,2200,1000,1000,200,10,39,30,780,600
10,2200,1000,1000,200,10,61,59,1220,1180
11,2200,1000,1000,200,10,41,33,820,660
12,2200,1000,1000,200,10,36,33,720,660
13,2200,1000,1000,200,10,81,83,1620,1660
14,2200,1000,1000,200,10,39,51,780,1020
15,2200,1000,1000,200,10,47,45,940,900
16,2200,1000,1000,200,10,44,33,880,660
17,2200,1000,1000,200,10,48,48,960,960
18,2200,1000,1000,200,10,41,35,820,700
19,2200,1000,1000,200,10,32,37,640,740
20,2200,1000,1000,200,10,66,67,1320,1340
21,2200,1000,1000,200,10,42,29,840,580
22,2200,1000,1000,200,10,49,39,980,780
23,2200,1000,1000,200,10,64,53,1280,1060
24,2200,1000,1000,200,10,79,77,1580,1540
25,2200,1000,1000,200,10,85,89,1700,1780
26,2200,1000,1000,200,10,42,58,840,1160
27,2200,1000,1000,200,10,64,73,1280,1460
28,2200,1000,1000,200,10,34,33,680,660
29,2200,1000,1000,200,10,81,72,1620,1440
30,2200,1000,1000,200,10,52,57,1040,1140
31,2200,1000,1000,200,10,47,57,940,1140
32,2200,1000,1000,200,10,56,62,1120,1240
33,2200,1000,1000,200,10,74,52,1480,1040
34,2200,1000,1000,200,10,43,42,860,840
35,2200,1000,1000,200,10,81,72,1620,1440
36,2200,1000,1000,200,10,24,25,480,500
37,2200,1000,1000,200,10,42,39,840,780
38,2200,1000,1000,200,10,45,58,900,1160
39,2200,1000,1000,200,10,46,54,920,1080
40,2200,1000,1000,200,10,57,56,1140,1120
41,2200,1000,1000,200,10,52,37,1040,740
42,2200,1000,1000,200,10,53,52,1060,1040
43,2200,1000,1000,200,10,51,67,1020,1340
44,2200,1000,1000,200,10,61,51,1220,1020
45,2200,1000,1000,200,10,45,46,900,920
46,2200,1000,1000,200,10,73,57,1460,1140
47,2200,1000,1000,200,10,51,58,1020,1160
48,2200,1000,1000,200,10,47,42,940,840
49,2200,1000,1000,200,10,23,30,460,600
50,2200,1000,1000,200,10,21,13,420,260
51,2200,1000,1000,200,10,56,40,1120,800
52,2200,1000,1000,200,10,30,40,600,800
53,2200,1000,1000,200,10,43,34,860,680
54,2200,1000,1000,200,10,48,52,960,1040
55,2200,1000,1000,200,10,42,43,840,860
56,2200,1000,1000,200,10,38,41,760,820
57,2200,1000,1000,200,10,48,44,960,880
58,2200,1000,1000,200,10,24,30,480,600
59,2200,1000,1000,200,10,38,49,760,980
60,2200,1000,1000,200,10,34,30,680,600
61,2200,1000,1000,200,10,62,79,1240,1580
62,2200,1000,1000,200,10,66,56,1320,1120
63,2200,1000,1000,200,10,55,46,1100,920
64,2200,1000,1000,200,10,55,62,1100,1240
65,2200,1000,1000,200,10,66,70,1320,1400
66,2200,1000,1000,200,8,97,84,2425,2100
67,2200,1000,1000,200,10,42,35,840,700
68,2200,1000,1000,200,10,44,46,880,920
69,2200,1000,1000,200,10,52,49,1040,980
70,2200,1000,1000,200,10,67,66,1340,1320
71,2200,1000,1000,200,10,34,43,680,860
72,2200,1000,1000,200,10,17,29,340,580
73,2200,1000,1000,200,10,67,71,1340,1420
74,2200,1000,1000,200,10,42,53,840,1060
75,2200,1000,1000,200,10,48,50,960,1000
76,2200,1000,1000,200,10,54,62,1080,1240
77,2200,1000,1000,200,10,49,56,980,1120
78,2200,1000,1000,200,10,53,51,1060,1020
79,2200,1000,1000,200,10,60,55,1200,1100
80,2200,1000,1000,200,10,50,54,1000,1080
81,2200,1000,1000,200,10,52,33,1040,660
82,2200,1000,1000,200,10,41,31,820,620
83,2200,1000,1000,200,10,79,73,1580,1460
84,2200,1000,1000,200,10,25,29,500,580
85,2200,1000,1000,200,10,49,38,980,760
86,2200,1000,1000,200,10,32,45,640,900
87,2200,1000,1000,200,10,56,60,1120,1200
88,2200,1000,1000,200,10,16,22,320,440
89,2200,1000,1000,200,10,57,43,1140,860
90,2200,1000,1000,200,10,53,44,1060,880
91,2200,1000,1000,200,10,18,33,360,660
92,2200,1000,1000,200,10,70,77,1400,1540
93,2200,1000,1000,200,10,25,35,500,700
94,2200,1000,1000,200,10,57,49,1140,980
95,2200,1000,1000,200,10,41,58,820,1160
96,2200,1000,1000,200,10,51,50,1020,1000
97,2200,1000,1000,200,10,43,52,860,1040
98,2200,1000,1000,200,10,62,80,1240,1600
99,2200,1000,1000,200,10,56,50,1120,1000
100,2200,1000,1000,200,10,75,56,1500,1120
