sim,total,target,marker,other,marker_count,target_count,other_count,c_hat,cum_x_mean,cum_n_mean,cum_c_hat
1,1200,1000,200,0,10,42,0,840,42,10,840
2,1200,1000,200,0,10,26,0,520,34,10,680
3,1200,1000,200,0,10,42,0,840,36.66666667,10,733.3333333
4,1200,1000,200,0,10,82,0,1640,48,10,960
5,1200,1000,200,0,10,51,0,1020,48.6,10,972
6,1200,1000,200,0,10,77,0,1540,53.33333333,10,1066.666667
7,1200,1000,200,0,10,41,0,820,51.57142857,10,1031.428571
8,1200,1000,200,0,10,53,0,1060,51.75,10,1035
9,1200,1000,200,0,10,82,0,1640,55.11111111,10,1102.222222
10,1200,1000,200,0,10,61,0,1220,55.7,10,1114
11,1200,1000,200,0,10,52,0,1040,55.36363636,10,1107.272727
12,1200,1000,200,0,11,61,0,1109.090909,55.83333333,10.08333333,1107.438017
13,1200,1000,200,0,10,32,0,640,54,10.07692308,1071.755725
14,1200,1000,200,0,10,51,0,1020,53.78571429,10.07142857,1068.085106
15,1200,1000,200,0,10,81,0,1620,55.6,10.06666667,1104.635762
16,1200,1000,200,0,10,42,0,840,54.75,10.0625,1088.198758
17,1200,1000,200,0,10,22,0,440,52.82352941,10.05882353,1050.292398
18,1200,1000,200,0,10,59,0,1180,53.16666667,10.05555556,1057.458564
19,1200,1000,200,0,10,42,0,840,52.57894737,10.05263158,1046.073298
20,1200,1000,200,0,10,24,0,480,51.15,10.05,1017.910448
21,1200,1000,200,0,10,57,0,1140,51.42857143,10.04761905,1023.696682
22,1200,1000,200,0,10,64,0,1280,52,10.04545455,1035.294118
23,1200,1000,200,0,10,81,0,1620,53.26086957,10.04347826,1060.606061
24,1200,1000,200,0,10,36,0,720,52.54166667,10.04166667,1046.473029
25,1200,1000,200,0,10,56,0,1120,52.68,10.04,1049.40239
26,1200,1000,200,0,10,69,0,1380,53.30769231,10.03846154,1062.068966
27,1200,1000,200,0,10,23,0,460,52.18518519,10.03703704,1039.852399
28,1200,1000,200,0,10,41,0,820,51.78571429,10.03571429,1032.02847
29,1200,1000,200,0,10,61,0,1220,52.10344828,10.03448276,1038.487973
30,1200,1000,200,0,10,40,0,800,51.7,10.03333333,1030.564784
31,1200,1000,200,0,10,27,0,540,50.90322581,10.03225806,1014.790997
32,1200,1000,200,0,10,44,0,880,50.6875,10.03125,1010.5919
33,1200,1000,200,0,10,44,0,880,50.48484848,10.03030303,1006.646526
34,1200,1000,200,0,10,32,0,640,49.94117647,10.02941176,995.8944282
35,1200,1000,200,0,10,44,0,880,49.77142857,10.02857143,992.5925926
36,1200,1000,200,0,10,69,0,1380,50.30555556,10.02777778,1003.3241
37,1200,1000,200,0,10,45,0,900,50.16216216,10.02702703,1000.539084
38,1200,1000,200,0,10,71,0,1420,50.71052632,10.02631579,1011.548556
39,1200,1000,200,0,10,49,0,980,50.66666667,10.02564103,1010.741688
40,1200,1000,200,0,10,66,0,1320,51.05,10.025,1018.453865
41,1200,1000,200,0,10,48,0,960,50.97560976,10.02439024,1017.03163
42,1200,1000,200,0,11,53,0,963.6363636,51.02380952,10.04761905,1015.63981
43,1200,1000,200,0,10,59,0,1180,51.20930233,10.04651163,1019.444444
44,1200,1000,200,0,10,44,0,880,51.04545455,10.04545455,1016.289593
45,1200,1000,200,0,10,85,0,1700,51.8,10.04444444,1031.415929
46,1200,1000,200,0,10,68,0,1360,52.15217391,10.04347826,1038.528139
47,1200,1000,200,0,10,69,0,1380,52.5106383,10.04255319,1045.762712
48,1200,1000,200,0,10,55,0,1100,52.5625,10.04166667,1046.887967
49,1200,1000,200,0,10,62,0,1240,52.75510204,10.04081633,1050.813008
50,1200,1000,200,0,5,95,0,3800,53.6,9.94,1078.470825
51,1200,1000,200,0,10,49,0,980,53.50980392,9.941176471,1076.5286
52,1200,1000,200,0,10,47,0,940,53.38461538,9.942307692,1073.887814
53,1200,1000,200,0,10,48,0,960,53.28301887,9.943396226,1071.726755
54,1200,1000,200,0,10,53,0,1060,53.27777778,9.944444444,1071.50838
55,1200,1000,200,0,10,69,0,1380,53.56363636,9.945454545,1077.14808
56,1200,1000,200,0,10,47,0,940,53.44642857,9.946428571,1074.685817
57,1200,1000,200,0,10,73,0,1460,53.78947368,9.947368421,1081.481481
58,1200,1000,200,0,10,30,0,600,53.37931034,9.948275862,1073.136915
59,1200,1000,200,0,10,50,0,1000,53.3220339,9.949152542,1071.890971
60,1200,1000,200,0,10,58,0,1160,53.4,9.95,1073.366834
61,1200,1000,200,0,10,28,0,560,52.98360656,9.950819672,1064.90939
62,1200,1000,200,0,10,45,0,900,52.85483871,9.951612903,1062.236629
63,1200,1000,200,0,10,58,0,1160,52.93650794,9.952380952,1063.795853
64,1200,1000,200,0,10,53,0,1060,52.9375,9.953125,1063.736264
65,1200,1000,200,0,10,28,0,560,52.55384615,9.953846154,1055.950541
66,1200,1000,200,0,10,57,0,1140,52.62121212,9.954545455,1057.229833
67,1200,1000,200,0,10,42,0,840,52.46268657,9.955223881,1053.973013
68,1200,1000,200,0,10,63,0,1260,52.61764706,9.955882353,1057.016248
69,1200,1000,200,0,10,86,0,1720,53.10144928,9.956521739,1066.666667
70,1200,1000,200,0,10,61,0,1220,53.21428571,9.957142857,1068.866571
71,1200,1000,200,0,10,43,0,860,53.07042254,9.957746479,1065.912306
72,1200,1000,200,0,10,34,0,680,52.80555556,9.958333333,1060.529986
73,1200,1000,200,0,10,52,0,1040,52.79452055,9.95890411,1060.247593
74,1200,1000,200,0,10,42,0,840,52.64864865,9.959459459,1057.259159
75,1200,1000,200,0,10,41,0,820,52.49333333,9.96,1054.082999
76,1200,1000,200,0,10,46,0,920,52.40789474,9.960526316,1052.311757
77,1200,1000,200,0,10,81,0,1620,52.77922078,9.961038961,1059.713168
78,1200,1000,200,0,10,51,0,1020,52.75641026,9.961538462,1059.202059
79,1200,1000,200,0,10,88,0,1760,53.20253165,9.962025316,1068.106734
80,1200,1000,200,0,10,69,0,1380,53.4,9.9625,1072.020075
81,1200,1000,200,0,10,56,0,1120,53.43209877,9.962962963,1072.614622
82,1200,1000,200,0,10,51,0,1020,53.40243902,9.963414634,1071.970624
83,1200,1000,200,0,10,24,0,480,53.04819277,9.963855422,1064.812576
84,1200,1000,200,0,10,63,0,1260,53.16666667,9.964285714,1067.144564
85,1200,1000,200,0,10,64,0,1280,53.29411765,9.964705882,1069.657615
86,1200,1000,200,0,10,44,0,880,53.18604651,9.965116279,1067.444574
87,1200,1000,200,0,10,68,0,1360,53.35632184,9.965517241,1070.818916
88,1200,1000,200,0,10,40,0,800,53.20454545,9.965909091,1067.730901
89,1200,1000,200,0,10,23,0,460,52.86516854,9.966292135,1060.879369
90,1200,1000,200,0,10,48,0,960,52.81111111,9.966666667,1059.754738
91,1200,1000,200,0,10,48,0,960,52.75824176,9.967032967,1058.654906
92,1200,1000,200,0,10,26,0,520,52.4673913,9.967391304,1052.780807
93,1200,1000,200,0,10,47,0,940,52.40860215,9.967741935,1051.564186
94,1200,1000,200,0,8,98,0,2450,52.89361702,9.946808511,1063.529412
95,1200,1000,200,0,10,57,0,1140,52.93684211,9.947368421,1064.338624
96,1200,1000,200,0,10,54,0,1080,52.94791667,9.947916667,1064.502618
97,1200,1000,200,0,10,54,0,1080,52.95876289,9.948453608,1064.663212
98,1200,1000,200,0,10,22,0,440,52.64285714,9.948979592,1058.25641
99,1200,1000,200,0,10,58,0,1160,52.6969697,9.949494949,1059.28934
100,1200,1000,200,0,10,42,0,840,52.59,9.95,1057.085427
101,1200,1000,200,0,10,48,0,960,52.54455446,9.95049505,1056.119403
102,1200,1000,200,0,10,40,0,800,52.42156863,9.950980392,1053.596059
103,1200,1000,200,0,10,79,0,1580,52.67961165,9.951456311,1058.731707
104,1200,1000,200,0,10,24,0,480,52.40384615,9.951923077,1053.140097
105,1200,1000,200,0,10,35,0,700,52.23809524,9.952380952,1049.760766
106,1200,1000,200,0,11,75,0,1363.636364,52.45283019,9.962264151,1053.030303
107,1200,1000,200,0,10,86,0,1720,52.76635514,9.962616822,1059.287054
108,1200,1000,200,0,10,42,0,840,52.66666667,9.962962963,1057.249071
109,1200,1000,200,0,10,53,0,1060,52.66972477,9.963302752,1057.274401
110,1200,1000,200,0,10,33,0,660,52.49090909,9.963636364,1053.649635
111,1200,1000,200,0,10,62,0,1240,52.57657658,9.963963964,1055.334539
112,1200,1000,200,0,10,96,0,1920,52.96428571,9.964285714,1063.082437
113,1200,1000,200,0,10,54,0,1080,52.97345133,9.96460177,1063.232682
114,1200,1000,200,0,10,45,0,900,52.90350877,9.964912281,1061.795775
115,1200,1000,200,0,10,39,0,780,52.7826087,9.965217391,1059.336824
116,1200,1000,200,0,10,29,0,580,52.57758621,9.965517241,1055.190311
117,1200,1000,200,0,10,57,0,1140,52.61538462,9.965811966,1055.917667
118,1200,1000,200,0,10,46,0,920,52.55932203,9.966101695,1054.761905
119,1200,1000,200,0,12,24,0,400,52.31932773,9.983193277,1048.148148
120,1200,1000,200,0,10,49,0,980,52.29166667,9.983333333,1047.579299
121,1200,1000,200,0,10,43,0,860,52.21487603,9.983471074,1046.02649
122,1200,1000,200,0,10,42,0,840,52.13114754,9.983606557,1044.334975
123,1200,1000,200,0,10,35,0,700,51.99186992,9.983739837,1041.530945
124,1200,1000,200,0,10,35,0,700,51.85483871,9.983870968,1038.772213
125,1200,1000,200,0,10,37,0,740,51.736,9.984,1036.378205
126,1200,1000,200,0,10,69,0,1380,51.87301587,9.984126984,1039.109698
127,1200,1000,200,0,10,45,0,900,51.81889764,9.984251969,1038.012618
128,1200,1000,200,0,10,25,0,500,51.609375,9.984375,1033.802817
129,1200,1000,200,0,10,56,0,1120,51.64341085,9.984496124,1034.47205
130,1200,1000,200,0,10,32,0,640,51.49230769,9.984615385,1031.432974
131,1200,1000,200,0,10,44,0,880,51.4351145,9.984732824,1030.275229
132,1200,1000,200,0,10,52,0,1040,51.43939394,9.984848485,1030.349014
133,1200,1000,200,0,10,67,0,1340,51.55639098,9.984962406,1032.680723
134,1200,1000,200,0,10,52,0,1040,51.55970149,9.985074627,1032.735426
135,1200,1000,200,0,10,49,0,980,51.54074074,9.985185185,1032.344214
136,1200,1000,200,0,10,48,0,960,51.51470588,9.985294118,1031.811487
137,1200,1000,200,0,10,59,0,1180,51.56934307,9.98540146,1032.894737
138,1200,1000,200,0,10,37,0,740,51.46376812,9.985507246,1030.769231
139,1200,1000,200,0,10,46,0,920,51.42446043,9.985611511,1029.971182
140,1200,1000,200,0,10,33,0,660,51.29285714,9.985714286,1027.32475
141,1200,1000,200,0,10,45,0,900,51.24822695,9.985815603,1026.420455
142,1200,1000,200,0,10,52,0,1040,51.25352113,9.985915493,1026.51622
143,1200,1000,200,0,10,43,0,860,51.1958042,9.986013986,1025.35014
144,1200,1000,200,0,10,60,0,1200,51.25694444,9.986111111,1026.564673
145,1200,1000,200,0,10,23,0,460,51.06206897,9.986206897,1022.651934
146,1200,1000,200,0,10,48,0,960,51.04109589,9.98630137,1022.222222
147,1200,1000,200,0,10,63,0,1260,51.12244898,9.986394558,1023.841962
148,1200,1000,200,0,10,54,0,1080,51.14189189,9.986486486,1024.221922
149,1200,1000,200,0,10,49,0,980,51.12751678,9.986577181,1023.924731
150,1200,1000,200,0,10,51,0,1020,51.12666667,9.986666667,1023.898531
151,1200,1000,200,0,10,63,0,1260,51.20529801,9.986754967,1025.464191
152,1200,1000,200,0,10,48,0,960,51.18421053,9.986842105,1025.032938
153,1200,1000,200,0,10,42,0,840,51.12418301,9.986928105,1023.82199
154,1200,1000,200,0,10,35,0,700,51.01948052,9.987012987,1021.716515
155,1200,1000,200,0,10,49,0,980,51.00645161,9.987096774,1021.447028
156,1200,1000,200,0,10,47,0,940,50.98076923,9.987179487,1020.924262
157,1200,1000,200,0,10,45,0,900,50.94267516,9.987261146,1020.153061
158,1200,1000,200,0,10,32,0,640,50.82278481,9.987341772,1017.74398
159,1200,1000,200,0,10,80,0,1600,51.00628931,9.987421384,1021.410579
160,1200,1000,200,0,10,59,0,1180,51.05625,9.9875,1022.403004
161,1200,1000,200,0,10,62,0,1240,51.1242236,9.98757764,1023.756219
162,1200,1000,200,0,10,44,0,880,51.08024691,9.987654321,1022.867738
163,1200,1000,200,0,10,31,0,620,50.95705521,9.987730061,1020.39312
164,1200,1000,200,0,10,26,0,520,50.80487805,9.987804878,1017.338217
165,1200,1000,200,0,10,22,0,440,50.63030303,9.987878788,1013.834951
166,1200,1000,200,0,10,18,0,360,50.43373494,9.987951807,1009.891435
167,1200,1000,200,0,10,33,0,660,50.32934132,9.988023952,1007.793765
168,1200,1000,200,0,10,48,0,960,50.31547619,9.988095238,1007.508939
169,1200,1000,200,0,10,86,0,1720,50.52662722,9.98816568,1011.729858
170,1200,1000,200,0,10,58,0,1160,50.57058824,9.988235294,1012.603062
171,1200,1000,200,0,10,55,0,1100,50.59649123,9.988304094,1013.114754
172,1200,1000,200,0,10,61,0,1220,50.65697674,9.988372093,1014.318976
173,1200,1000,200,0,10,44,0,880,50.61849711,9.988439306,1013.541667
174,1200,1000,200,0,10,36,0,720,50.53448276,9.988505747,1011.852704
175,1200,1000,200,0,10,75,0,1500,50.67428571,9.988571429,1014.645309
176,1200,1000,200,0,10,67,0,1340,50.76704545,9.988636364,1016.496018
177,1200,1000,200,0,10,43,0,860,50.72316384,9.988700565,1015.61086
178,1200,1000,200,0,10,34,0,680,50.62921348,9.988764045,1013.723285
179,1200,1000,200,0,10,47,0,940,50.60893855,9.988826816,1013.310962
180,1200,1000,200,0,10,67,0,1340,50.7,9.988888889,1015.12792
181,1200,1000,200,0,10,47,0,940,50.67955801,9.988950276,1014.712389
182,1200,1000,200,0,10,38,0,760,50.60989011,9.989010989,1013.311331
183,1200,1000,200,0,10,32,0,640,50.50819672,9.989071038,1011.269147
184,1200,1000,200,0,10,62,0,1240,50.57065217,9.989130435,1012.513602
185,1200,1000,200,0,10,47,0,940,50.55135135,9.989189189,1012.121212
186,1200,1000,200,0,10,38,0,760,50.48387097,9.989247312,1010.764263
187,1200,1000,200,0,10,56,0,1120,50.51336898,9.989304813,1011.349036
188,1200,1000,200,0,10,43,0,860,50.47340426,9.989361702,1010.543131
189,1200,1000,200,0,10,62,0,1240,50.53439153,9.989417989,1011.758475
190,1200,1000,200,0,10,54,0,1080,50.55263158,9.989473684,1012.118019
191,1200,1000,200,0,10,60,0,1200,50.60209424,9.989528796,1013.102725
192,1200,1000,200,0,10,41,0,820,50.55208333,9.989583333,1012.095933
193,1200,1000,200,0,10,63,0,1260,50.61658031,9.989637306,1013.381743
194,1200,1000,200,0,10,67,0,1340,50.70103093,9.989690722,1015.067079
195,1200,1000,200,0,10,45,0,900,50.67179487,9.98974359,1014.476386
196,1200,1000,200,0,10,54,0,1080,50.68877551,9.989795918,1014.811032
197,1200,1000,200,0,10,48,0,960,50.6751269,9.989847716,1014.53252
198,1200,1000,200,0,10,51,0,1020,50.67676768,9.98989899,1014.560162
199,1200,1000,200,0,10,60,0,1200,50.72361809,9.989949749,1015.492958
200,1200,1000,200,0,10,40,0,800,50.67,9.99,1014.414414
201,1200,1000,200,0,10,82,0,1640,50.82587065,9.990049751,1017.52988
202,1200,1000,200,0,10,51,0,1020,50.82673267,9.99009901,1017.542121
203,1200,1000,200,0,10,77,0,1540,50.95566502,9.990147783,1020.118343
204,1200,1000,200,0,10,23,0,460,50.81862745,9.990196078,1017.369971
205,1200,1000,200,0,10,46,0,920,50.79512195,9.990243902,1016.894531
206,1200,1000,200,0,11,40,0,727.2727273,50.74271845,9.995145631,1015.347256
207,1200,1000,200,0,10,46,0,920,50.71980676,9.995169082,1014.886419
208,1200,1000,200,0,10,57,0,1140,50.75,9.995192308,1015.488215
209,1200,1000,200,0,10,36,0,720,50.67942584,9.995215311,1014.073719
210,1200,1000,200,0,10,51,0,1020,50.68095238,9.995238095,1014.101953
211,1200,1000,200,0,10,58,0,1160,50.71563981,9.995260664,1014.793741
212,1200,1000,200,0,10,56,0,1120,50.74056604,9.995283019,1015.290231
213,1200,1000,200,0,10,39,0,780,50.68544601,9.995305164,1014.185063
214,1200,1000,200,0,10,48,0,960,50.6728972,9.995327103,1013.931744
215,1200,1000,200,0,10,35,0,700,50.6,9.995348837,1012.470917
216,1200,1000,200,0,10,33,0,660,50.51851852,9.99537037,1010.838351
217,1200,1000,200,0,10,69,0,1380,50.60368664,9.995391705,1012.540341
218,1200,1000,200,0,10,34,0,680,50.52752294,9.995412844,1011.014227
219,1200,1000,200,0,10,26,0,520,50.41552511,9.99543379,1008.771128
220,1200,1000,200,0,10,62,0,1240,50.46818182,9.995454545,1009.822647
221,1200,1000,200,0,10,37,0,740,50.40723982,9.995475113,1008.601177
222,1200,1000,200,0,10,52,0,1040,50.41441441,9.995495495,1008.742677
223,1200,1000,200,0,10,48,0,960,50.40358744,9.995515695,1008.524002
224,1200,1000,200,0,10,82,0,1640,50.54464286,9.995535714,1011.34435
225,1200,1000,200,0,10,72,0,1440,50.64,9.995555556,1013.250333
226,1200,1000,200,0,10,60,0,1200,50.68141593,9.995575221,1014.077025
227,1200,1000,200,0,10,41,0,820,50.63876652,9.995594714,1013.221684
228,1200,1000,200,0,10,38,0,760,50.58333333,9.995614035,1012.110575
229,1200,1000,200,0,10,62,0,1240,50.63318777,9.995633188,1013.10616
230,1200,1000,200,0,10,46,0,920,50.61304348,9.995652174,1012.701174
231,1200,1000,200,0,10,63,0,1260,50.66666667,9.995670996,1013.772196
232,1200,1000,200,0,10,50,0,1000,50.6637931,9.995689655,1013.712807
233,1200,1000,200,0,10,24,0,480,50.54935622,9.995708155,1011.421211
234,1200,1000,200,0,10,51,0,1020,50.55128205,9.995726496,1011.457888
235,1200,1000,200,0,10,73,0,1460,50.64680851,9.995744681,1013.36739
236,1200,1000,200,0,10,52,0,1040,50.65254237,9.995762712,1013.480288
237,1200,1000,200,0,10,26,0,520,50.54852321,9.995780591,1011.397214
238,1200,1000,200,0,10,36,0,720,50.48739496,9.995798319,1010.172341
239,1200,1000,200,0,10,39,0,780,50.43933054,9.9958159,1009.208874
240,1200,1000,200,0,10,44,0,880,50.4125,9.995833333,1008.670279
