id,x,y,type
1,0.745622487,0.001960319,target
2,0.06592979,0.566021794,target
3,0.749445417,0.498753791,target
4,0.687413815,0.15598512,target
5,0.558934937,0.861174564,target
6,0.770517128,0.628586809,target
7,0.260805427,0.300183617,target
8,0.406411071,0.625359778,target
9,0.083574231,0.302264988,target
10,0.507424871,0.723113531,target
11,0.158964188,0.726549619,target
12,0.594332646,0.087821956,target
13,0.325967905,0.037174105,target
14,0.482139517,0.67346019,target
15,0.22108165,0.320588703,target
16,0.881428826,0.936029352,target
17,0.491498203,0.466464576,target
18,0.805637485,0.184969737,target
19,0.84919494,0.244394548,target
20,0.943820499,0.64790326,target
21,0.397898616,0.953457973,target
22,0.183921064,0.264883694,target
23,0.477626047,0.304905647,target
24,0.870756127,0.335415276,target
25,0.773044497,0.928134748,target
26,0.149417041,0.820039462,target
27,0.367226394,0.718420433,target
28,0.002797534,0.655434671,target
29,0.421756775,0.948341982,target
30,0.638348097,0.708594395,target
31,0.741590267,0.093321314,target
32,0.753934775,0.851556617,target
33,0.535876096,0.798561068,target
34,0.079505743,0.730394428,target
35,0.291997954,0.614199144,target
36,0.385500073,0.194918114,target
37,0.216687617,0.351241926,target
38,0.674676808,0.869351233,target
39,0.659529028,0.052519514,target
40,0.73542011,0.823007639,target
41,0.464493456,0.911605365,target
42,0.697642039,0.113952052,target
43,0.95314718,0.727383871,target
44,0.34531411,0.630793658,target
45,0.15201801,0.385889902,target
46,0.244119065,0.68365793,target
47,0.666532142,0.619866257,target
48,0.396906326,0.777932444,target
49,0.871425623,0.375551556,target
50,0.120595179,0.722353538,target
51,0.926863053,0.711019547,target
52,0.495413028,0.797579358,target
53,0.966869109,0.592039843,target
54,0.120940098,0.164183185,target
55,0.677553092,0.415362814,target
56,0.409794063,0.277018097,target
57,0.965767253,0.332939098,target
58,0.155840106,0.880761146,target
59,0.389919372,0.159916099,target
60,0.562479928,0.454943347,target
61,0.192459633,0.925875605,target
62,0.756479541,0.110662318,target
63,0.875471673,0.70796726,target
64,0.668208257,0.641649694,target
65,0.997158993,0.154144784,target
66,0.62405441,0.898545617,target
67,0.711593586,0.357438094,target
68,0.434925188,0.18101558,target
69,0.934665133,0.918301234,target
70,0.067131286,0.741946562,target
71,0.769736366,0.942130554,target
72,0.265383069,0.010841727,target
73,0.427959683,0.030477414,target
74,0.033527362,0.975433458,target
75,0.076890039,0.633378112,target
76,0.20369101,0.466108113,target
77,0.817968585,0.799530503,target
78,0.186409404,0.85774889,target
79,0.673482627,0.873748036,target
80,0.817898483,0.161470911,target
81,0.532047583,0.139597251,target
82,0.834801918,0.029774783,target
83,0.752565213,0.985965469,target
84,0.688519083,0.299824689,target
85,0.429392977,0.822747688,target
86,0.30291934,0.427476007,target
87,0.103299502,0.051844809,target
88,0.749455959,0.446484118,target
89,0.902833356,0.051466981,target
90,0.305139845,0.159924071,target
91,0.022694732,0.48449815,target
92,0.331628176,0.581416505,target
93,0.27606272,0.722070534,target
94,0.737811135,0.219208404,target
95,0.244006534,0.363237827,target
96,0.844020145,0.974676735,target
97,0.931203788,0.878442953,target
98,0.813464395,0.081855678,target
