id,x,y,type
1,0.948041092,0.096960987,target1
2,0.52056897,0.01565514,target1
3,0.974614714,0.86876786,target1
4,0.012877688,0.156599147,target1
5,0.356502478,0.651198277,target1
6,0.529070736,0.829652166,target1
7,0.197598526,0.2446202,target1
8,0.669239542,0.978051781,target1
9,0.580007934,0.665551696,target1
10,0.202238648,0.024739784,target1
11,0.57359246,0.267348578,target1
12,0.37414423,0.332205333,target1
13,0.091815216,0.637966985,target1
14,0.47542498,0.197925988,target1
15,0.845713902,0.70815151,target1
16,0.22004248,0.140957923,target1
17,0.906128353,0.092577182,target1
18,0.442624854,0.614947317,target1
19,0.872433371,0.477549308,target1
20,0.846736178,0.879558611,target1
21,0.456044077,0.632384171,target1
22,0.181300513,0.47753062,target1
23,0.955777196,0.72456033,target1
24,0.908915474,0.694139784,target1
25,0.395003286,0.598684243,target1
26,0.36522036,0.641567988,target1
27,0.820352009,0.024882127,target1
28,0.957653269,0.827982736,target1
29,0.546793312,0.359668805,target1
30,0.782293932,0.338073497,target1
31,0.246183389,0.760618913,target1
32,0.330109465,0.403435188,target1
33,0.592494238,0.971018382,target1
34,0.454872736,0.942792766,target1
35,0.171703914,0.540780168,target1
36,0.556608982,0.686428885,target1
37,0.923828477,0.457436494,target1
38,0.58448514,0.121420639,target1
39,0.556319032,0.392668357,target1
40,0.090281212,0.967489353,target1
41,0.182409518,0.131984205,target1
42,0.78073896,0.773803597,target1
43,0.561809036,0.220714711,target1
44,0.387161347,0.254933274,target1
45,0.527585445,0.271241193,target1
46,0.036804513,0.908138413,target1
47,0.944809562,0.057041149,target1
48,0.158207286,0.180137299,target1
49,0.132723164,0.815722303,target1
50,0.140284132,0.137606425,target1
51,0.916351171,0.336503298,target1
52,0.763576925,0.739341985,target1
53,0.010833984,0.916710657,target1
54,0.512131454,0.805559675,target1
55,0.172256444,0.66481136,target1
56,0.506234634,0.118983283,target1
57,0.130354503,0.133734984,target1
58,0.775541258,0.363260616,target1
59,0.074419866,0.606683536,target1
60,0.873639208,0.282326349,target1
61,0.019678982,0.787242291,target1
62,0.53673727,0.227516887,target1
63,0.420638931,0.166495331,target1
64,0.425700251,0.702212965,target1
65,0.313237644,0.799745468,target1
