nsim,lambda_target,lambda_marker,lambda_total,marker_goal,c_hat_mean_noJ,c_hat_mean,c_hat_sd,cov,total_standard_error,accuracy,runtime_seconds,x:n ratio
1000,1000,200,1200,10,998.8611111,994.9220312,352.5513019,35.43506836,34.6488176,99.49220312,201.4404659,5
500,8000,160,8160,8,7967.43873,7936.801001,2802.532013,35.31059948,35.73226922,99.21001252,129.3991539,50
500,8000,200,8200,10,7793.55039,7756.714628,2628.994806,33.89314848,32.01506116,96.95893285,129.2043569,40
500,8000,400,8400,20,7934.970532,7931.190096,1867.043874,23.5405261,22.89929894,99.1398762,122.805301,20
500,8000,800,8800,40,8008.063833,8007.423298,1298.97594,16.22214652,16.56380134,99.90720878,133.7509799,10
500,8000,1600,9600,80,8079.781277,8079.618677,1027.1432,12.71276827,12.22654087,99.00476654,140.246618,5
500,8000,4000,12000,200,8000.026581,7999.880234,699.387571,8.742475519,8.651844207,99.99850292,146.9217012,2
500,8000,8000,16000,400,7965.993267,7966.027266,535.1690441,6.718142258,7.07160537,99.57534083,164.551542,1
1000,8000,160,8160,8,7943.062286,7904.040075,2844.822338,35.99200296,35.74491854,98.80050094,219.6564639,50
1000,8000,200,8200,10,7819.128737,7790.119012,2545.58298,32.67707433,32.02773995,97.37648765,246.196876,40
1000,8000,400,8400,20,7979.888123,7977.478287,1855.768687,23.26259778,22.89496613,99.71847859,284.4991372,20
1000,8000,800,8800,40,7984.000434,7983.479649,1299.717649,16.28008971,16.56481782,99.79349561,304.4896619,10
1000,8000,1600,9600,80,8060.165437,8060.1879,998.7630013,12.39131164,12.22844261,99.24765125,315.6097879,5
1000,8000,4000,12000,200,7991.853496,7991.716029,683.1459886,8.548176463,8.653381967,99.89645037,333.319448,2
1000,8000,8000,16000,400,7967.576623,7967.567622,540.5444715,6.784309807,7.07089237,99.59459527,377.5668919,1
,,,,marker_goal,,,,,,,,
1000,1000,1000,2000,10,1026.781922,990.2417582,427.4658942,43.16783156,42.03456875,99.02417582,13.07346201,
1000,1000,1000,2000,25,993.6361538,993.3856636,289.0111181,29.09354631,28.27651064,99.33856636,76.98946786,
1000,1000,1000,2000,40,995.686266,995.5837221,228.5627563,22.95766304,22.36339034,99.55837221,147.575846,
1000,1000,1000,2000,50,997.9979925,997.9844745,209.2328305,20.96553963,19.98792114,99.79844745,195.3373811,
1000,1000,1000,2000,60,997.2678401,997.1886281,190.8833467,19.14215038,18.25310208,99.71886281,243.296232,
1000,1000,1000,2000,75,999.2406269,998.3711615,167.0758479,16.73484314,16.34749278,99.83711615,314.623265,
1000,1000,1000,2000,90,1002.677208,996.0342236,159.6134356,16.02489471,15.22172644,99.60342236,367.8794732,
1000,1000,1000,2000,100,1006.096583,995.7139987,156.7432174,15.74179108,14.95692728,99.57139987,375.160466,
1000,1000,1000,2000,200,1007.659882,996.1151079,154.9308906,15.55351278,14.89271741,99.61151079,381.140801,
1000,1000,1000,2000,250,1007.659882,996.1151079,154.9308906,15.55351278,14.89271741,99.61151079,378.5636051,
best,,,,,,,,,,,,
500,10000,5000,15000,250,10010.81953,10010.66021,798.4372508,7.975870059,7.737414816,99.89339785,145.2687879,
