nsim,lambda_target1,lambda_target2,lambda_marker,lambda_total,marker_goal,c1_hat_mean_noJ, c1_hat_mean,c2_hat_mean_noJ, c2_hat_mean,c1_hat_sd,c2_hat_sd,cv1,total_standard_error1,cv2,total_standard_error2, accuracy1, accuracy2,cov,cor,runtime_seconds,x1:x2,
1000,1000,1000,200,2200,10,994.0785786,990.5887064,997.9859163,994.3331998,342.7654354,334.1810706,34.60219495,34.68925128,33.60856005,34.67827733,99.05887064,99.43331998,95447.22547,0.833267496,199.8247609,1,
,,,,,,,,,,,,,,,,,,,,,,
1000,8000,1000,1000,10000,50,7974.592262,7974.224953,1003.059427,1002.972509,1178.791235,199.0971457,14.78251795,14.9838256,19.85070816,19.96004218,99.67781191,99.70274907,157407.657,0.67069323,320.0576851,8,
1000,7500,1500,1000,10000,50,7496.832851,7496.865767,1496.098115,1496.0872,1113.903549,258.7433684,14.85825655,15.04199103,17.29467162,18.25018356,99.95821023,99.73914664,202684.3892,0.703239871,367.418628,5,
1000,7200,1800,1000,10000,50,7189.332454,7189.23774,1795.092605,1794.994112,1087.18129,311.3797925,15.12234439,15.07846456,17.34712055,17.62932716,99.85052416,99.72189511,254136.4115,0.750713972,318.824264,4,
1000,6750,2250,1000,10000,50,6776.888009,6776.821893,2271.861176,2271.781872,993.0684618,379.778602,14.65389644,15.13468937,16.71721246,16.95486466,99.60263863,99.0319168,286379.1028,0.759331896,363.6887162,3,
1000,6000,3000,1000,10000,50,6024.050664,6023.95353,3006.77273,3006.647105,878.1594225,479.8644275,14.57779211,15.25612185,15.96011806,16.30960556,99.6007745,99.77842985,330806.7117,0.785023016,323.0481269,2,
1000,4500,4500,1000,10000,50,4479.071569,4478.810008,4474.271569,4473.941498,685.1418159,669.9423475,15.29740745,15.62301804,14.97432069,15.62456948,99.5291113,99.42092218,378260.4092,0.824086848,315.261755,1,
1000,3000,6000,1000,10000,50,2990.145656,2989.961683,5990.285701,5989.901812,494.8492515,924.2487393,16.55035429,16.31916813,15.43011502,15.26061906,99.66538943,99.83169687,374011.1151,0.817754089,248.4278851, 1/2,
1000,2250,6750,1000,10000,50,2256.473575,2256.41384,6772.505852,6772.336135,367.4003979,1003.341197,16.28249177,16.97453588,14.8152894,15.13714686,99.71494045,99.66909429,288722.6898,0.783236013,362.6484659, 1/3,
1000,1800,7200,1000,10000,50,1791.850679,1791.808124,7180.215128,7180.113432,299.8960471,1061.328265,16.73706258,17.63968763,14.78149719,15.08369936,99.54489578,99.72379767,241102.7477,0.757498345,313.4110949, 1/4,
1000,1500,7500,1000,10000,50,1491.51816,1491.37759,7461.448733,7460.839887,264.2504858,1077.48715,17.71855013,18.25990186,14.44190153,15.04476287,99.42517265,99.47786516,205000.6354,0.719991407,378.7021101, 1/5,
1000,1000,8000,1000,10000,50,998.0585506,998.0839471,7977.166587,7976.688023,194.5400451,1133.667502,19.49135097,19.98901826,14.21225826,14.98700656,99.80839471,99.70860028,144569.6655,0.655514747,340.2327881, 1/8,
,,,,,,,,,,,,,,,,,,,,,,
1000,4000,4000,4000,12000,200,3998.066151,3998.003633,3998.640986,3998.642471,404.8651752,397.7876693,10.12668352,9.992159543,9.948067932,9.991760339,99.95009083,99.96606177,76723.1891,0.476392491,307.9413989,1,
1000,6000,2000,4000,12000,200,5976.885916,5976.860791,1994.203578,1994.202725,519.5096816,233.8940411,8.692015755,9.125764817,11.7286993,12.24587852,99.61434651,99.71013625,51235.0901,0.421652521,291.3975461,3,
1000,6400,1600,4000,12000,200,6385.066174,6384.906715,1594.310477,1594.295608,528.3468995,207.0044466,8.274935298,9.008813125,12.9840693,13.23219332,99.76416742,99.64347553,44379.85479,0.405776638,327.0005271,4,
1000,7000,1000,4000,12000,200,6989.206598,6989.126584,996.8244284,996.8013493,601.3788431,150.1335125,8.604492077,8.857772606,15.06152782,15.81598067,99.84466548,99.68013493,26027.35307,0.288273163,297.380034,7,
1000,7200,800,4000,12000,200,7191.255298,7191.187036,795.5278836,795.5216732,597.0913364,125.3249932,8.303098409,8.81158946,15.75381255,17.34236774,99.87759772,99.44020915,24019.39909,0.320984217,358.079143,9,
,,,,,,,,,,,,,,,,,,,,,,
1000,3000,3000,6000,12000,300,2998.545055,2998.5329,2993.320474,2993.343158,299.975662,299.1128915,10.00408106,9.991760461,9.992602774,9.997534176,99.95109667,99.77810528,29497.48348,0.328748527,248.929523,1,
1000,4000,2000,6000,12000,300,4001.513095,4001.470441,1996.098502,1996.114309,354.6317447,221.5509113,8.862535658,9.118740507,11.09910942,11.54408535,99.96323896,99.80571543,24783.43396,0.315435328,266.752991,2,
1000,4500,1500,6000,12000,300,4488.600843,4488.561352,1489.114195,1489.120309,369.7988826,186.4282767,8.238695066,8.817364361,12.51935627,12.93555061,99.74580783,99.27468725,18553.08758,0.269115564,267.9325972,3,
1000,4800,1200,6000,12000,300,4782.851836,4782.818469,1201.526087,1201.529288,396.6566461,165.2329211,8.293366112,8.661215359,13.7518846,14.12211761,99.64205143,99.87255933,16210.52041,0.247335037,268.7130899,4,
1000,5000,1000,6000,12000,300,4987.878803,4987.857053,998.8029392,998.7890321,414.9908546,144.9719316,8.320023012,8.560815287,14.51477008,15.26828277,99.75714105,99.87890321,11729.75781,0.194969462,262.8368909,5,
1000,5400,600,6000,12000,300,5384.888162,5384.837516,598.8356518,598.8143081,440.9733761,111.3394124,8.189167728,8.386759455,18.59331196,19.14714118,99.71921326,99.80238469,10270.36382,0.209182107,272.8971751,9,
,,,,,,,,,,,,,,,,,,,,,n:x2,
1000,8000,4000,4000,16000,200,7953.461884,7953.273919,3983.959048,3983.932296,668.246209,399.3493772,8.40215257,8.660030869,10.0240001,10.00003275,99.41592399,99.5983074,155304.5021,0.58196187,266.8247669,1,1000
1000,8000,2000,4000,14000,200,7996.346831,7996.266757,2002.450687,2002.455555,659.232953,239.3944031,8.24425914,8.65310037,11.95504202,12.23137706,99.95333446,99.87722223,73474.44138,0.465568289,321.171319,2,1000
1000,8000,1000,4000,13000,200,7956.373234,7956.288952,988.937467,988.9275325,676.2348893,147.3504843,8.499375694,8.659373736,14.90002851,15.86590758,99.4536119,98.89275325,34481.8644,0.346052187,371.365509,4,1000
1000,8000,500,4000,12500,200,8013.070207,8012.994077,496.0567776,496.0503795,655.4914076,104.0019378,8.180355574,8.649289739,20.96600307,21.26693562,99.83757404,99.2100759,19342.34118,0.28372696,373.790091,8,1000
1000,8000,400,4000,12400,200,8005.069199,8005.050303,395.5670594,395.5605238,662.9879126,93.80093865,8.282120504,8.651042361,23.7134226,23.54881944,99.93687121,98.89013095,15910.81421,0.255846576,372.56161,10,1000
1000,8000,200,4000,12200,200,8001.50782,8001.377362,197.6431615,197.6415165,661.1894015,61.1844986,8.263444799,8.651725506,30.95731084,32.55615799,99.98278297,98.82075825,7161.71177,0.177031093,350.8773811,20,999
1000,8000,160,4000,12160,200,8008.490402,8008.283598,156.2302406,156.2306633,689.5074391,57.45237511,8.609927841,8.650201447,36.77407105,36.43528395,99.89645502,97.64416455,7973.204863,0.201273213,331.9370699,25,1000
1000,8000,100,4000,12100,200,8004.125942,8004.171116,98.03363546,98.03119356,665.2231877,44.55839018,8.310956601,8.650294174,45.45327723,45.66973117,99.94786106,98.03119356,4754.369891,0.160396946,327.7488489,40,995
1000,8000,80,4000,12080,200,8012.881462,8012.893311,78.71698427,78.71705569,644.9718139,38.12937688,8.049175109,8.648984162,48.43852015,50.84676658,99.83883361,98.39631962,4359.790173,0.177282205,321.868036,50,979
1000,8000,50,4000,12050,200,8017.256815,8017.286292,50.38472019,50.38175558,642.9871643,30.9071914,8.020010025,8.648712988,61.34599926,63.3393071,99.78392135,99.23648885,1506.179526,0.075790521,321.3004339,80,929
1000,8000,40,4000,12040,200,7996.104253,7996.088254,42.30900781,42.31072437,678.8073691,27.39303186,8.489243084,8.651837241,64.74252632,69.04256552,99.95110317,94.22318907,958.3672936,0.051540109,326.3018579,100,894
1000,8000,25,4000,12025,200,7988.300417,7988.323353,25.53049651,25.52894212,675.0984586,22.21100168,8.451065747,8.653714192,87.00322002,88.70461368,99.85404192,97.88423154,1189.105436,0.079302176,318.938524,160,733
1000,8000,20,4000,12020,200,7994.996568,7994.949167,20.00157026,20.0036933,639.7892786,18.96640786,8.002418341,8.653316522,94.81453037,100.1496347,99.93686459,99.98153352,633.0617162,0.052170381,323.7307601,200,659
,,,,,,,,,,,,,,,,,,,,,,
1000,8000,4000,10000,22000,500,8023.868199,8023.860899,4003.10835,4003.097885,540.8015859,326.6928519,6.739917263,6.696054652,8.161000837,8.356044212,99.70173877,99.92255288,64321.73536,0.364066035,495.3712659,,
1000,8000,4000,8000,20000,400,7987.870961,7987.785132,3984.616953,3984.621641,565.26526,332.5313286,7.076620749,7.066504622,8.34536773,8.66248114,99.84731415,99.61554102,74701.14949,0.397413322,473.1924431,,
